date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,year,month,quarter,month_name
2024-06-01,0.0217426068119751,267785119.7502724,4748499.606462559,one,Harmony,2870121,0.0177324998898028,0.0,0.0,0.0,2024,6,2,June
2024-06-02,0.0218085728582048,268287245.32364804,3105341.8768550074,one,Harmony,2927085,0.011574690675693,0.303395295698361,0.1875106330941456,1.984724685823358,2024,6,2,June
2024-06-03,0.0216246699011506,266174581.64667204,6740671.334065311,one,Harmony,2832820,0.0253242488158132,-0.8432599338337954,-0.7874633303671885,-3.2204394474366183,2024,6,2,June
2024-06-04,0.0220324417296862,270763566.006694,6316662.0972584775,one,Harmony,2929770,0.0233290696766134,1.885678858449813,1.7240505579580567,3.4223847614744285,2024,6,2,June
2024-06-05,0.0229404180856679,282230726.2915312,6750956.490225386,one,Harmony,2433359,0.0239199912034098,4.121088198582723,4.235119389938036,-16.943684999163754,2024,6,2,June
2024-06-06,0.0229207283804318,281632253.592556,5970411.909935843,one,Harmony,2497337,0.0211993187348966,-0.085829757603062,-0.2120508659135156,2.629205144000535,2024,6,2,June
2024-06-07,0.0224798943761234,276481344.869383,4946629.89169643,one,Harmony,2992966,0.0178913694666573,-1.9232984091588248,-1.8289484451681328,19.84630027905725,2024,6,2,June
2024-06-08,0.0200022433768818,246202771.2654966,12912637.794644088,one,Harmony,2173231,0.0524471667328209,-11.021630964036866,-10.951398409245572,-27.388717412760457,2024,6,2,June
2024-06-09,0.0186531070605937,229437326.1707984,6200134.837527388,one,Harmony,2087444,0.0270232178042027,-6.744925010998348,-6.809608603722406,-3.947440469973051,2024,6,2,June
2024-06-10,0.0187748246426587,231016795.57951185,4656916.387885432,one,Harmony,2195268,0.0201583455272307,0.6525324798146492,0.6884099614801631,5.165360124630891,2024,6,2,June
2024-06-11,0.0182082484103805,224048504.17444444,5862292.942493434,one,Harmony,2177776,0.0261652848970999,-3.017744469319128,-3.0163570521300254,-0.7968047637008313,2024,6,2,June
2024-06-12,0.0176468065003287,217089006.9878815,9024643.902670885,one,Harmony,2136233,0.0415711694842966,-3.0834482120294493,-3.1062457712925595,-1.9075882919088127,2024,6,2,June
2024-06-13,0.0183480264313695,225779974.5134425,7073985.497833509,one,Harmony,2163308,0.0313313238389631,3.9736364255352097,4.003412077906887,1.2674179267898156,2024,6,2,June
2024-06-14,0.0174253957482126,214745299.3292752,4861407.535506343,one,Harmony,2099214,0.0226380160622384,-5.028500948633474,-4.887357795104341,-2.9627773761295217,2024,6,2,June
2024-06-15,0.0167176863772364,205780639.4357343,6583679.448474305,one,Harmony,2403505,0.031993677668255,-4.061367564916107,-4.17455465686124,14.495473067538622,2024,6,2,June
2024-06-16,0.0170233974603961,209165335.29252467,3433657.891492583,one,Harmony,2450682,0.0164159987920106,1.82866861036437,1.644807726359221,1.962841766503498,2024,6,2,June
2024-06-17,0.0173394774481391,213297744.26356173,3334814.0373329227,one,Harmony,2455219,0.0156345490143217,1.8567385768814224,1.9756662667156368,0.1851321387271065,2024,6,2,June
