date,token,name,trend_score,price_volatility,smooth_volume_to_marketcap,pca_1,pca_2,pca_3,is_healthy
2024-06-01,kava,Kava,-0.0016206599839737603,-1.6574406623898612,-0.8384086518012841,2.691715714672149,-0.04042455987723947,1.092784836922703,0
2024-06-02,kava,Kava,-0.3036722645466857,-1.6574406623898612,-0.8935605729392172,2.642061018727075,-0.017250177730903406,1.1168748403409965,0
2024-06-03,kava,Kava,-0.04734960515238342,-1.6535341628321916,-0.8108264062728228,2.699490233857563,-0.020019119362955688,1.0564159010334542,0
2024-06-04,kava,Kava,0.263020104654173,-1.6218480062409362,-0.8378967911942734,2.6923065036412956,-0.028245713365333873,1.086394237921653,0
2024-06-05,kava,Kava,0.473995210839135,-1.0692592686764744,-0.7963976254672275,2.7670014695246894,0.012852773111144276,1.0777458589741917,0
2024-06-07,kava,Kava,0.20810250100157832,-0.9671256293261207,-0.6414721079866395,2.8871565973517193,0.06924775318223626,1.001452287642139,0
2024-06-08,kava,Kava,-1.1637812484267314,-0.1107666385676651,-0.5077573278729928,2.806121856503814,-0.05318087675866914,0.9137208153545985,0
2024-06-09,kava,Kava,0.2034106063118368,-0.2439025821188305,-0.7628054135868965,2.704595333334486,-0.0576656678624908,1.0299208199980963,0
2024-06-12,kava,Kava,-1.5014750825795316,0.10145886046221209,-0.3826915178277676,2.7082497794639013,-0.16588004951141816,0.8327389583931735,0
2024-06-13,kava,Kava,0.27897720323777336,0.14989799152635638,-0.5981214954006203,2.6697526792343464,-0.13159795874196628,0.908175140574281,0
2024-06-14,kava,Kava,-0.8352576938820544,0.2518878573881969,-0.7393365104190552,2.522468833553591,-0.19780535271002414,0.9438537797417907,0
2024-06-15,kava,Kava,-0.3633862359279291,0.05715326067519813,-0.7550859386785764,2.4789284261310263,-0.22485363758652843,0.9420866833421359,0
2024-06-16,kava,Kava,0.1468478500178772,-0.13804455320530773,-0.9374311729636776,2.3670890062848136,-0.1918395650574097,1.074924654585285,0
