date,token,name,is_seasonal_outlier_price,is_seasonal_outlier_market_cap,is_seasonal_outlier_volume,is_seasonal_outlier_volume_to_marketcap,trend_score,price_volatility,pca_1,is_healthy
2024-06-01,kava,Kava,0,0,0,0,0.0,0.0,563780577.0354213,0
2024-06-02,kava,Kava,0,0,0,0,-5.665072158268381,0.0,560784339.7205329,0
2024-06-03,kava,Kava,0,0,0,0,-0.8576606453575497,0.0001121461387449765,561060234.6582569,0
2024-06-04,kava,Kava,0,0,0,0,4.963420174062194,0.0010217789342745218,564674007.0560265,0
2024-06-05,kava,Kava,0,1,0,0,8.920324166896298,0.016885262934969784,587958488.9399475,0
2024-06-07,kava,Kava,0,1,0,0,3.9334233697030925,0.019817272300394307,615300732.8615452,0
2024-06-08,kava,Kava,0,0,0,0,-21.7966847173525,0.04440126438214312,550610435.7412114,0
2024-06-09,kava,Kava,0,0,0,0,3.8454254197671456,0.04057925396667567,549169393.1138257,0
2024-06-12,kava,Kava,0,0,0,0,-28.130238020760753,0.05049374433973055,487864314.23489094,0
2024-06-13,kava,Kava,0,0,0,0,5.262700540553111,0.05188431444803645,501047694.5606903,0
2024-06-14,kava,Kava,0,0,0,0,-15.635122871386507,0.05481219642489926,461431623.30395937,0
2024-06-15,kava,Kava,0,0,0,0,-6.785026337029521,0.049221837900847484,445323213.0725882,0
2024-06-16,kava,Kava,0,0,0,0,2.7845732639253384,0.043618181534067345,451674779.2266332,0
2024-06-17,kava,Kava,0,0,0,0,0.6159693638507102,0.038470082995083685,453780976.51582897,0
2024-06-18,kava,Kava,0,0,0,0,-20.253133639787315,0.049092804441961894,393860592.11805725,0
2024-06-19,kava,Kava,0,0,0,0,-30.281801551557486,0.05372511890086334,333978928.0933014,0
2024-06-20,kava,Kava,0,0,0,0,10.429033735104753,0.05440485791809496,346958748.45971715,0
2024-06-21,kava,Kava,0,0,0,0,2.5204802676340954,0.05595692794956576,354316335.8658824,0
2024-06-22,kava,Kava,0,0,0,0,-1.7731092678514693,0.05642954856051069,350354140.34711146,0
2024-06-23,kava,Kava,0,0,0,0,2.014304453358018,0.056515124521935044,355301425.60639215,0
2024-06-24,kava,Kava,0,0,0,0,-13.709986873265201,0.055312444909562816,337126549.3221111,0
2024-06-27,kava,Kava,0,0,0,0,5.361737931614585,0.04430284126152748,339696785.1651075,0
2024-06-28,kava,Kava,0,0,0,0,-0.5513616688426537,0.01707124184939964,339346778.3281933,1
2024-06-29,kava,Kava,0,0,0,0,-12.852426785627358,0.01794572930692024,320301106.1369463,0
2024-06-30,kava,Kava,0,0,0,0,-6.22437367031038,0.016641339061776828,309888558.4582113,0
2024-07-01,kava,Kava,0,0,0,0,7.876891687547571,0.023589279237528203,324277647.07202244,0
2024-07-03,kava,Kava,0,0,0,0,5.7718932937649505,0.022645441799859105,319842632.2266052,0
2024-07-04,kava,Kava,0,0,0,0,-13.79385244768807,0.02685052237050744,295262975.1162187,0
2024-07-06,kava,Kava,0,0,0,0,-33.14443460636118,0.046793662038369856,241013088.50074556,0
2024-07-07,kava,Kava,0,0,0,0,20.36845471878779,0.06357329819458998,273536574.70601165,0
2024-07-08,kava,Kava,0,0,0,0,-14.008342424363075,0.06522753263406682,247961974.13884994,0
2024-07-09,kava,Kava,0,0,0,0,-2.129944773164228,0.06700638871745608,253138965.4509478,0
2024-07-10,kava,Kava,0,0,0,0,3.67886173962666,0.06501804215148858,259503164.2278594,0
2024-07-11,kava,Kava,0,0,0,0,14.844664557693354,0.06661542917455347,272222625.6620772,0
2024-07-12,kava,Kava,0,0,0,0,-6.731539533718644,0.06482717383923656,260245706.51769343,0
2024-07-13,kava,Kava,0,0,0,0,3.2917855299605003,0.043568887004606656,266185028.46001807,1
2024-07-14,kava,Kava,0,0,0,0,10.430331802459447,0.031112905291459728,279607169.07746446,1
2024-07-15,kava,Kava,0,0,0,0,3.7852939805458563,0.016886900299396445,287606941.77632236,1
2024-07-16,kava,Kava,0,0,0,0,10.376064144843644,0.02022119219506589,304421465.73231757,1
2024-07-17,kava,Kava,0,0,0,0,-3.181955371816369,0.02030225991502438,306484999.86536384,1
