date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,log_price,log_market_cap,log_volume,log_tvl_usd,price_increase_label,price_volatility,trend_score
2024-06-02,0.654584657463975,708947740.7960414,6660197.843757534,kava,Kava,207251699,-1.0573332386005128,0.1907264550689236,0.1466349444322556,-6.00243355776956,2.3681543102869114,2.1591438623261605,-1.2695847057061338,1.9167306016187164,0,,-0.5009844954717301
2024-06-03,0.6559369397805399,709871636.9793059,8866538.03758164,kava,Kava,204775940,-0.9516890624367915,0.2065863141070156,0.1303193634875077,-1.194566322952073,2.38136770662522,2.1655823387047293,-0.8275666246107407,1.8284272033462166,0,,-0.07430106199069268
2024-06-04,0.65608264219042,710641888.6540701,8156310.168801918,kava,Kava,214672150,-0.9862555375545388,0.0222128685005706,0.1085057684572232,4.8327015371044,2.382790747365615,2.170943690487299,-0.9565448429399986,2.1752131246370725,0,,0.44235093335653736
2024-06-05,0.6791293156511857,733517459.4439561,9557919.61969725,kava,Kava,219370364,-0.9332647919972223,3.512769882742406,3.219001181201331,2.188553102952562,2.6063204375867577,2.327575560777333,-0.7115752287769289,2.3342902229686224,0,,0.7935472844662863
2024-06-06,0.6945949292335778,751330405.2618207,13875647.362549888,kava,Kava,221528413,-0.7477016101474503,2.2772707974714423,2.428428333712418,0.9837468291751472,2.7546077893326104,2.446196567899453,-0.13573220246246262,2.406221214918698,0,,0.5067895973779005
2024-06-07,0.7061166329590628,764818566.9939431,14399593.216326945,kava,Kava,209920658,-0.7354386783074476,1.6587658850602427,1.7952370405430518,-5.239849300956257,2.864203122556568,2.534161451094145,-0.07847520917936361,2.0107510847201246,0,,-0.1566825001344698
2024-06-08,0.6468690868332991,700067575.2142082,16683295.921420312,kava,Kava,199550835,-0.5646967907027802,-8.390617549607915,-8.466189835614657,-4.939877332129927,2.292556864992043,2.096828075397954,0.148929887761318,1.6385045049750209,0,,-1.932751219791156
2024-06-09,0.6430182737517702,695844212.341558,9941702.238423722,kava,Kava,209616189,-0.8903705236120157,-0.5953002176035782,-0.6032793150515525,5.044004952422276,2.2546938579384017,2.066913094359016,-0.6507597810069761,2.000086026738825,0,-0.2214116522636008,0.3431229311155634
2024-06-10,0.6458415986913442,698931302.23944,8784294.173645325,kava,Kava,199738331,-0.9490328294548651,0.439073826487224,0.4436467018233525,-4.712354540516905,2.2824627847253116,2.088797394108152,-0.8419625692542013,1.6454052294238468,0,-0.21838213211243337,-0.3380795625362848
2024-06-11,0.6331056620668147,686334615.9337187,6580302.975295512,kava,Kava,191407701,-1.050743197373969,-1.9719907559897052,-1.8022781731710011,-4.17077180844172,2.1568186741846054,1.9988844705061397,-1.288227818789934,1.33236888043444,0,-0.18289799155073533,-0.7033438772401734
2024-06-12,0.590469819939625,638693972.1983223,18209712.60793225,kava,Kava,184996762,-0.40499886902367044,-6.73439595975216,-6.941314430219148,-3.3493631481420927,1.7289546002377147,1.6432313679099544,0.28417160666041263,1.0820468607785214,0,-0.0681774704908982,-1.509245257023786
2024-06-13,0.6024745046803909,652163958.8726981,13336500.870479405,kava,Kava,187069906,-0.6800837996959384,2.033073382479289,2.108989165501818,1.1206379925720045,1.8505745876943644,1.7464104039281507,-0.19695307498864428,1.1639316757726579,0,-0.09303306851096516,0.4689136634254863
2024-06-14,0.5655703549095462,612887392.2731034,9294709.02203123,kava,Kava,180546414,-0.8604028205392318,-6.1254292893974105,-6.022498800376286,-3.4871947816128124,1.4737432421245684,1.4393301094667597,-0.7547130680095993,0.9031235508473554,0,-0.14435822594753125,-1.3858797158681064
2024-06-15,0.5514695053744374,596981629.2745516,8701670.143380266,kava,Kava,177483264,-0.8805134403782611,-2.493208742768005,-2.595217849001552,-1.6965997452599637,1.3274078487535748,1.3093346581804188,-0.8565614218970621,0.7773903398819559,0,-0.6139810763947012,-0.6003864070933745
2024-06-16,0.5580269719810425,603613645.7909737,4679741.372410147,kava,Kava,178343275,-1.1133520949465305,1.189089612879446,1.1109247238447306,0.4845589272011619,1.3956244623905991,1.3639532338049896,-1.8147499326878043,0.8129090093549594,0,-0.48414855809755153,0.24896663951150436
2024-06-17,0.5593824774184419,605816715.9740887,4690681.161470115,kava,Kava,178357683,-1.113697967326744,0.2429103798670118,0.3649801820215792,0.0080788019621191,1.4096898251733596,1.381964113673754,-1.8111429120026925,0.8135026034851061,0,-0.4976268703301327,0.05649146748614383
2024-06-18,0.5009146142625592,541732705.5952333,18725411.3528439,kava,Kava,179743880,-0.19837852699501973,-10.452215705023992,-10.578118544618745,0.7772006098554218,0.7916023034959923,0.829228638735342,0.3273119372144628,0.87038934796898,0,0.2792288396667983,-1.7957528222626513
2024-06-19,0.4476946321844197,483990484.9236525,18110709.84728519,kava,Kava,163569740,-0.10099500231308293,-10.624561664364563,-10.658802777679089,-8.998437109513823,0.20768927926249198,0.27203046216795107,0.27574997543627083,0.177534983739613,0,0.693195312476627,-2.685850631934924
2024-06-20,0.4584586684368114,495289322.0869895,8529141.829438549,kava,Kava,172877172,-0.790274458589029,2.404325510866867,2.3345163831308247,5.69019184110704,0.32750177433133204,0.38611668622393003,-0.8874976850553411,0.5841789405718549,0,0.7351546883343633,0.9274533120572319
2024-06-21,0.4639015088951724,503070883.54118925,9529727.03597541,kava,Kava,172466004,-0.7314922971451812,1.1872041763152374,1.57111431787198,-0.237838226553122,0.3877488344867346,0.46318489551352665,-0.716138555003805,0.5666821333345511,0,0.8309618851512268,0.22552697637611083
