date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,narrative
2024-08-31,0.0029813691017998288,29460674.59566494,503496.6685960598,ccd,Concordium,568629,0.017090466376155147,,,,Desconocido
2024-09-01,0.00295509805543057,29201281.306639858,458106.2387561664,ccd,Concordium,568629,0.01568788143046316,-0.8811738993806273,-0.8804730121938609,0.0,Desconocido
2024-09-02,0.0028893421447503897,28550285.68549597,448622.33235958463,ccd,Concordium,568629,0.01571340957150185,-2.2251684866883226,-2.22933923449401,0.0,Desconocido
2024-09-03,0.0027518306596462914,27189934.151364136,471224.0490298326,ccd,Concordium,568629,0.017330827151201135,-4.7592662348396875,-4.7647562939200805,0.0,Desconocido
2024-09-04,0.002728750675889945,27001689.221962824,497119.7489113989,ccd,Concordium,568629,0.01841069070993707,-0.8387138094941182,-0.6923331566504265,0.0,Desconocido
2024-09-05,0.0026976958285671268,26716696.853928827,307853.2252606855,ccd,Concordium,568629,0.011522877507793936,-1.1380610034183558,-1.0554612553728249,0.0,Desconocido
2024-09-06,0.0027144109429595785,26852809.565760497,510567.41417605674,ccd,Concordium,568629,0.01901355658616339,0.6196070815489119,0.50946684231159,0.0,Desconocido
2024-09-07,0.0027054164758443557,26768381.220706884,480597.1731280167,ccd,Concordium,568629,0.01795391245983329,-0.33135981633701794,-0.3144115882803833,0.0,Desconocido
2024-09-08,0.0027214055932703743,26911382.10669494,352443.801199302,ccd,Concordium,568629,0.013096458584028726,0.5910039200536898,0.5342156658970421,0.0,Desconocido
2024-09-09,0.0027522527068791786,27239931.41939315,339057.2174699801,ccd,Concordium,568629,0.01244706575247074,1.1334993095143409,1.220856332817144,0.0,Desconocido
2024-09-10,0.0027132390817334586,26849436.20013501,350007.91569780523,ccd,Concordium,568629,0.01303595029291696,-1.4175160968397438,-1.4335396563448288,0.0,Desconocido
2024-09-11,0.0027533058687619293,27254215.159661293,393499.82794448157,ccd,Concordium,568629,0.014438127300282598,1.4767142084239904,1.50758830281974,0.0,Desconocido
2024-09-12,0.002768621325237657,27420259.247066423,509071.09804414137,ccd,Concordium,568629,0.018565510028815818,0.5562569945276152,0.6092418601394645,0.0,Desconocido
2024-09-13,0.003016872161076068,29887511.98046167,619949.1037451765,ccd,Concordium,562621,0.020742747143036033,8.96658685590026,8.997919061101523,-1.056576432084888,Desconocido
2024-09-14,0.0030094046463848743,29826078.90611694,445876.59473823995,ccd,Concordium,563918,0.014949219310447022,-0.24752506213356895,-0.20554763603236603,0.2305281886029853,Desconocido
2024-09-15,0.0030915829239091916,30598910.21811669,444633.2117469597,ccd,Concordium,523200,0.014531014620373827,2.7307154464268013,2.5911260894614374,-7.220553342861901,Desconocido
2024-09-16,0.0032581444857991758,32289116.0524634,505274.66094721615,ccd,Concordium,525931,0.015648451327259786,5.3875818954056465,5.523745199742414,0.5219801223241616,Desconocido
2024-09-17,0.003468719437659455,34371995.421633966,534439.3948102241,ccd,Concordium,33445,0.015548686896247062,6.463032955661818,6.450716599941297,-93.64080078945717,Desconocido
2024-09-18,0.003532083419754674,35060210.69206477,380156.75415252027,ccd,Concordium,33460,0.010842968329296484,1.8267254885847573,2.002255795709895,0.04484975332634811,Desconocido
2024-09-19,0.0040900319158087926,40538782.882823385,942686.3611315317,ccd,Concordium,33518,0.023253938428698006,15.796583198843916,15.626181596217826,0.17334130304842432,Desconocido
2024-09-20,0.003743770213559761,37180318.86084811,370934.07463588193,ccd,Concordium,33480,0.009976624353980074,-8.465990226400455,-8.284570436371652,-0.11337191956560799,Desconocido
2024-09-21,0.0036882521194262683,36637750.42463932,346628.9274209638,ccd,Concordium,33470,0.009460977363606139,-1.48294609355053,-1.4592893574673527,-0.029868578255676237,Desconocido
2024-09-22,0.0036558206732347828,36315796.33588537,355234.520942539,ccd,Concordium,33470,0.00978181829353181,-0.8793174962380412,-0.8787496094122549,0.0,Desconocido
2024-09-23,0.003537139211922574,35155693.18596003,375156.77911512717,ccd,Concordium,33470,0.010671295176308793,-3.2463698829952703,-3.194486330949553,0.0,Desconocido
2024-09-24,0.003423527113845994,34012964.703996904,331141.94681669987,ccd,Concordium,33470,0.009735756635698005,-3.211977003721822,-3.2504791639821673,0.0,Desconocido
2024-09-25,0.003487509319994988,34657227.0474341,331939.19119239016,ccd,Concordium,33453,0.009577776973849551,1.868897310327311,1.8941669714592324,-0.05079175380937606,Desconocido
2024-09-26,0.003441287097702905,34203996.2291319,278221.864664945,ccd,Concordium,33443,0.008134191771076753,-1.3253648392300033,-1.3077526880089896,-0.02989268525991351,Desconocido
2024-09-27,0.0034788565925642128,34571321.00468913,374945.33539861644,ccd,Concordium,33461,0.010845559975789188,1.0917280016068842,1.073923564651702,0.05382292258468979,Desconocido
2024-09-28,0.003423490380024828,34028519.68676069,347278.8422993732,ccd,Concordium,33453,0.0102055230581919,-1.5915060326926356,-1.5700913420543472,-0.023908430710384287,Desconocido
2024-09-29,0.0034192635949540453,33986636.083074234,287979.06649768644,ccd,Concordium,33452,0.0084733030298666,-0.12346420178204198,-0.12308382519133909,-0.0029892685259880203,Desconocido
2024-09-30,0.0034092396616427984,33911613.81336541,409212.732044397,ccd,Concordium,33453,0.012067037985762745,-0.29316058949183654,-0.22074049789878591,0.0029893578859185865,Desconocido
2024-10-01,0.003399373222442033,33814912.39510868,392936.2419783629,ccd,Concordium,33435,0.011620205824788742,-0.28940292205832385,-0.2851572289922055,-0.05380683346785098,Desconocido
2024-10-02,0.0033862995816399256,33689584.74787762,294739.2608479827,ccd,Concordium,33431,0.008748675979645333,-0.3845897448328861,-0.3706283362993057,-0.011963511290569162,Desconocido
2024-10-03,0.0033656106458546634,33496632.64536019,401941.358940246,ccd,Concordium,33433,0.011999455682478018,-0.6109599959033485,-0.5727351760534405,0.005982471358922936,Desconocido
2024-10-04,0.0033674479357571727,33505136.48269024,418462.23052745033,ccd,Concordium,33435,0.012489494879199805,0.054590090650341594,0.025387140910804185,0.005982113480684781,Desconocido
2024-10-05,0.003367186618238643,33525166.148438383,402749.39770745125,ccd,Concordium,33442,0.012013345315701337,-0.007760105679888163,0.05978088093594458,0.020936144758487707,Desconocido
2024-10-06,0.0033786056302796083,33615167.14296512,382451.37369542674,ccd,Concordium,33437,0.011377345591317846,0.33912620046401276,0.26845801189543383,-0.014951258896001018,Desconocido
2024-10-07,0.003371588873325865,33581526.71539027,362439.34986107104,ccd,Concordium,33436,0.010792819306067064,-0.20768203577410382,-0.10007514593569633,-0.0029906989263417394,Desconocido
2024-10-08,0.003358317278719959,33465744.85357925,423159.1700467306,ccd,Concordium,33429,0.01264454659228876,-0.3936302765412347,-0.3447784336677029,-0.020935518602704928,Desconocido
2024-10-09,0.003344085826931404,33332328.758094132,407870.1932013959,ccd,Concordium,33421,0.012236474569822917,-0.42376733963561675,-0.39866465267348605,-0.02393131711986296,Desconocido
2024-10-10,0.0033486222585197424,33386405.238719385,416687.5765003338,ccd,Concordium,33406,0.01248075597001041,0.13565535764077374,0.16223433117352748,-0.04488196044403203,Desconocido
2024-10-11,0.003342870084152515,33314861.80468808,280845.6305273787,ccd,Concordium,33403,0.008430040387796475,-0.17177734372971765,-0.21428912013663481,-0.008980422678561695,Desconocido
2024-10-12,0.003357617405659014,33498606.753582567,156065.09071885672,ccd,Concordium,33433,0.004658853183563107,0.4411574825001763,0.5515404805570334,0.08981229230906607,Desconocido
2024-10-13,0.003367465967372261,33592197.72888114,167074.2057071441,ccd,Concordium,33434,0.0049736015206739755,0.29331995052943594,0.2793876652454008,0.0029910567403534927,Desconocido
2024-10-14,0.003369970284435847,33615595.601787746,173930.12568025454,ccd,Concordium,33428,0.005174090256815339,0.0743679991973556,0.0696527005926928,-0.017945803672902993,Desconocido
2024-10-15,0.003366120938645441,33577512.68634026,182513.85007273869,ccd,Concordium,33440,0.005435597680437704,-0.1142249178927246,-0.11328942642760964,0.03589804953931797,Desconocido
2024-10-16,0.003423756955405378,34162653.92872564,240646.93384195957,ccd,Concordium,33443,0.0070441522003538435,1.712238443314229,1.7426580933834979,0.008971291866033404,Desconocido
2024-10-17,0.0034122207104178653,34136288.48327048,178347.30980333893,ccd,Concordium,33442,0.005224566516384563,-0.33694696024785253,-0.07717622146734548,-0.002990162365812399,Desconocido
2024-10-18,0.0036036744321016117,35968901.492011845,300240.1486898191,ccd,Concordium,33457,0.008347214850486827,5.610824677876747,5.368518635643382,0.04485377668799195,Desconocido
2024-10-19,0.0035826057391000754,35850336.52538697,205324.3942535308,ccd,Concordium,33464,0.005727265463969436,-0.58464473965395,-0.32963188117159925,0.020922377977705686,Desconocido
2024-10-20,0.0035666591311897134,35609855.490306474,146393.78252976047,ccd,Concordium,33455,0.004111046801906035,-0.44511199589513106,-0.6707915695859601,-0.026894573272773226,Desconocido
2024-10-21,0.003543689411932536,35381874.11457041,49456.172705606274,ccd,Concordium,33451,0.001397782733200105,-0.6440121809317856,-0.6402198846275131,-0.011956359288600726,Desconocido
2024-10-22,0.0035455851720006563,35414810.55616804,146070.75450033922,ccd,Concordium,33444,0.0041245668748861545,0.05349678958141979,0.09308845961912837,-0.0209261307584252,Desconocido
2024-10-23,0.003520034807636612,35172261.624860965,104929.23464489337,ccd,Concordium,33428,0.0029832950682570202,-0.7206247523205644,-0.6848799344059575,-0.047841167324480516,Desconocido
2024-10-24,0.0034796800548900437,34757936.230480455,16770.897010543384,ccd,Concordium,33417,0.00048250554634013035,-1.1464305028751398,-1.1779890608104915,-0.03290654541103777,Desconocido
2024-10-25,0.003527800474298271,35263362.91252458,148421.2087780547,ccd,Concordium,33406,0.00420893518142989,1.3828978138551218,1.4541331760684395,-0.032917377382768453,Desconocido
2024-10-26,0.003525378633531531,35238765.89170705,169532.61145596323,ccd,Concordium,33368,0.004810969032711227,-0.06865016273976954,-0.06975234006623143,-0.1137520205951037,Desconocido
2024-10-27,0.003530961792613827,35393059.365458675,161498.80288423155,ccd,Concordium,33383,0.004563007713366646,0.1583704805263153,0.4378515247264625,0.04495324862143768,Desconocido
2024-10-28,0.0035229359701971865,35224676.18283865,152863.90684223635,ccd,Concordium,33381,0.0043396823876754665,-0.22729847809254133,-0.47575198538603036,-0.005991073300781746,Desconocido
2024-10-29,0.0035283974457543756,36994830.44148564,153818.42044598763,ccd,Concordium,33385,0.004157835530271742,0.15502625092795874,5.025324432959333,0.011982864503767843,Desconocido
2024-10-30,0.0035144287205441677,37019566.61088052,158848.4874720259,ccd,Concordium,33385,0.004290933201398915,-0.3958943238386081,0.06686385394845118,0.0,Desconocido
2024-10-31,0.0034852221624950665,36580735.96059138,182228.64344110762,ccd,Concordium,33385,0.004981546670833071,-0.8310471024314592,-1.1854019116478653,0.0,Desconocido
2024-11-01,0.003479775752538287,36454018.84946381,152697.4772822206,ccd,Concordium,33385,0.004188769362104682,-0.156271528839369,-0.3464039413096698,0.0,Desconocido
2024-11-02,0.0034545553290082683,36286003.67426495,163165.295044483,ccd,Concordium,33385,0.004496645497509123,-0.7247715175790259,-0.46089616591431515,0.0,Desconocido
2024-11-03,0.0034368755486172634,37695523.83503176,145582.58987521884,ccd,Concordium,33385,0.0038620657060593456,-0.5117816537065112,3.8844734003223413,0.0,Desconocido
2024-11-04,0.003361267979736304,36888513.566693455,142132.59315603957,ccd,Concordium,33385,0.0038530311854140615,-2.1998925422649696,-2.1408649787440392,0.0,Desconocido
2024-11-05,0.003349561150696181,36756510.581598215,164456.17126065947,ccd,Concordium,33385,0.004474205213130128,-0.3482860965177137,-0.3578430582641512,0.0,Desconocido
2024-11-06,0.0033542801177104168,36804714.73799526,150137.83190854892,ccd,Concordium,33385,0.004079309756300176,0.14088314265452428,0.13114453911513557,0.0,Desconocido
2024-11-07,0.003377184472474291,36961805.990306385,152445.5239982944,ccd,Concordium,33385,0.004124406800854775,0.6828396544146909,0.42682371926918705,0.0,Desconocido
2024-11-08,0.0034066874464024543,37400305.25336951,158889.7968713388,ccd,Concordium,33385,0.004248355616215831,0.8735967540010492,1.1863577855966367,0.0,Desconocido
2024-11-09,0.0033785297335288244,37080263.30867183,219047.09735200088,ccd,Concordium,33385,0.005907377073581166,-0.8265423029449104,-0.8557201405965609,0.0,Desconocido
2024-11-10,0.003419981197404043,37552161.895481475,206740.90690372424,ccd,Concordium,33385,0.005505432882376891,1.22690836383208,1.2726408733437555,0.0,Desconocido
2024-11-11,0.003510466409256484,38586162.98821867,94655.28340977474,ccd,Concordium,33385,0.002453088777929938,2.6457809745013883,2.753506164612096,0.0,Desconocido
2024-11-12,0.003390203857925191,37232856.63979427,168794.7489578773,ccd,Concordium,33385,0.00453348907903753,-3.4258282892034475,-3.5072322397995404,0.0,Desconocido
